 top_k_columns,score
    25,0.982456
   	16,0.973684
 			17,0.973684
   	29,0.973684
    28,0.973684
    27,0.973684
   	26,0.973684
    24,0.973684
    23,0.973684
    22,0.973684
   	21,0.973684
    20,0.973684
    19,0.973684
    18,0.973684
    30,0.973684
    12,0.973684
    15,0.964912
    14,0.964912
					9,0.964912
					8,0.956140
					7,0.956140
					2,0.947368
    13,0.947368
  	 11,0.938596
				10,0.938596
					5,0.938596
					4,0.938596
					3,0.938596
					6,0.929825
					1,0.622807
